896 199
565 337 492
-433 167 531
-969 745 911
359 147 463
-129 182 40
556 66 511
-891 237 957
-443 270 59
-796 774 351
-124 575 519
59 373 304
290 665 913
-933 134 632
-960 325 217
13 466 684
-42 300 411
-613 482 214
245 268 923
299 478 361
289 470 188
525 56 232
804 832 726
-239 632 279
-555 645 150
-303 497 108
-427 31 341
397 320 640
444 75 345
-256 57 152
627 728 703
461 681 872
-585 2 796
-386 151 872
-29 483 581
-296 495 174
-271 533 705
508 7 818
-407 727 715
-112 296 108
519 518 656
61 452 33
-400 184 252
240 821 934
642 10 717
-511 69 443
-250 758 487
9 202 638
-400 131 582
-915 274 764
149 330 179
768 547 860
-547 419 130
-6 48 753
-609 183 964
-375 773 178
264 996 59
654 360 883
933 989 616
-995 871 441
88 118 479
822 545 773
970 573 189
-856 957 123
-934 959 594
583 133 934
-389 909 286
-39 770 872
-374 672 885
254 931 689
-372 40 993
-529 509 737
-667 99 419
-414 326 315
-458 889 223
381 138 760
-567 669 169
-831 128 758
366 145 497
-970 551 889
598 332 512
-548 419 480
-253 709 430
-661 250 409
-84 610 268
-722 209 288
-181 356 425
909 418 364
-331 76 929
344 895 197
-483 624 353
942 520 648
900 858 980
491 799 680
673 73 230
128 843 733
-673 981 439
-773 297 868
-372 423 159
-840 589 238
-369 640 8
-599 301 531
695 221 39
-966 439 781
632 716 486
-583 115 921
194 45 836
786 710 831
408 126 322
906 931 801
398 394 398
823 499 503
871 830 455
-742 469 246
-868 763 102
513 460 499
-165 565 833
933 554 36
-677 572 842
-822 104 660
-880 659 249
-79 608 717
-727 926 120
149 755 818
-300 473 380
314 354 670
952 394 266
48 556 903
-556 313 185
333 233 754
70 267 37
-58 177 521
-520 903 30
-229 299 365
236 1000 123
-467 100 444
-298 712 200
-776 619 965
-46 775 326
39 624 712
467 761 684
27 424 440
-234 424 417
-88 988 312
-4 689 364
306 552 838
-695 118 947
70 254 636
-475 194 8
-957 926 339
550 566 523
-220 827 152
734 158 712
571 88 506
52 649 316
854 765 23
469 36 664
387 73 179
-574 711 813
322 263 596
323 344 390
-282 110 562
-112 952 88
228 965 986
-934 318 861
717 932 350
-902 618 93
-293 964 196
488 71 106
707 711 954
-873 966 753
-992 671 483
-333 839 217
395 886 182
794 171 859
-393 913 916
-795 116 898
-572 378 921
172 668 47
-928 911 342
-543 801 930
-770 995 674
-450 593 358
-158 29 192
-721 628 216
-493 1000 12
-389 314 166
-438 442 853
341 511 269
-665 147 285
127 219 466
-853 87 545
525 600 313
232 676 153
944 248 807
-781 581 912
439 133 366
-880 32 785
-462 839 377
73 950 771
